"","splitweek1","splitweek2","end1","end2","BS_CET","EN_CET","BA_CET","QR_CET","CP_CET","CR_CET","EN_PTS","QR_PTS","CP_PTS","CR_PTS","CET_CP_quantile","PTS_CP_quantile","CET_CR_quantile","PTS_CR_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"31",20,60,40,20,0,0,0.999515503875969,0.957848837209302,0.958333333333333,0.992248062015504,0.0267983074753173,0.697674418604651,0.991279069767442,0.998546511627907,0.82175032511267,0.982952498775185,2.65984033412716,2.901958948692,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"32",60,60,40,20,0,0,0.999515503875969,0.951550387596899,0.0915697674418605,0.0915697674418605,0.0267983074753173,0.679263565891473,0.950581395348837,0.945736434108527,0.919211864615506,0.994507760284851,0.919251340519885,0.992459735416093,2.3,70,8e-06,100,0.01,3500,2,100,2.3,70,8e-06,100,0.01,3500,2,100
"33",160,60,40,20,0,0,0.999515503875969,0.950581395348837,0.952519379844961,0.952519379844961,0.0267983074753173,0.707848837209302,0.954457364341085,0.953488372093023,1.03948743145799,0.995823178123183,1.03907199057031,0.995226177332527,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"34",20,60,Inf,20,0,0,0.999515503875969,0.950581395348837,0.992248062015504,0.999515503875969,0.0267983074753173,0.694767441860465,0.998062015503876,1,1.03948743145799,0.995823178123183,2.84543157904378,2.95398794929212,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"35",60,60,Inf,20,0,0,0.999515503875969,0.951550387596899,0.983527131782946,0.983527131782946,0.0267983074753173,0.796996124031008,0.984980620155039,0.984980620155039,1.43268391301849,1.16009288852003,1.37634935324186,1.16180803459231,2.3,80,8e-06,100,0.01,3500,2,100,2.3,80,8e-06,100,0.01,3500,2,100
"36",160,60,Inf,20,0,0,0.999515503875969,0.957848837209302,0.958333333333333,0.958333333333333,0.0267983074753173,0.722383720930233,0.973837209302326,0.974321705426357,1.37752218391333,1.05443170348808,1.36840213976388,1.05897265527113,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"37",20,60,20,40,0,0,0.998062015503876,0.981104651162791,0.0116279069767442,0.0213178294573643,0.0267983074753173,0.646317829457364,0.968023255813954,0.968023255813954,0.420763460217369,0.383898111926078,0.577742227929618,0.377028987192216,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"38",60,60,20,40,0,0,0.998062015503876,0.93265503875969,0.933624031007752,0.933624031007752,0.0267983074753173,0.640988372093023,0.813468992248062,0.809593023255814,0.821745157313643,0.982454971911822,0.821671111643959,0.980412196291322,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"39",160,60,20,40,0,0,0.998062015503876,0.93265503875969,0.636627906976744,0.636627906976744,0.0267983074753173,0.668604651162791,0.82218992248062,0.821220930232558,0.916531611611961,0.991927896343265,0.917454751317095,0.991753560244259,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"40",20,60,40,40,0,0,0.998062015503876,0.981104651162791,0.992248062015504,0.992248062015504,0.0267983074753173,0.689922480620155,0.998546511627907,0.998546511627907,2.66074109286334,3.08767023043323,2.65312637901512,2.93562921742602,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"41",60,60,40,40,0,0,0.998062015503876,0.957848837209302,0.794089147286822,0.933624031007752,0.0267983074753173,0.647286821705426,0.903100775193798,0.895348837209302,0.919443389516802,0.994604237491446,0.919576380275219,0.992552779738117,2.3,70,8e-06,100,0.01,3500,2,100,2.3,70,8e-06,100,0.01,3500,2,100
"42",160,60,40,40,0,0,0.998062015503876,0.93265503875969,0.856589147286822,0.856589147286822,0.0267983074753173,0.69234496124031,0.911337209302326,0.911337209302326,1.03850770017073,0.995564736608138,1.03985187914038,0.995440071200234,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"43",20,60,Inf,40,0,0,0.998062015503876,0.93265503875969,0.998546511627907,0.998546511627907,0.0267983074753173,0.687984496124031,1,1,2.85593958682616,3.06077965255351,2.84793275795898,2.9641149961572,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"44",60,60,Inf,40,0,0,0.998062015503876,0.93265503875969,0.981589147286822,0.981589147286822,0.0267983074753173,0.779069767441861,0.977713178294574,0.976744186046512,1.42995623997628,1.16896682920511,1.38616166705101,1.16319988072509,2.3,80,8e-06,100,0.01,3500,2,100,2.3,80,8e-06,100,0.01,3500,2,100
"45",160,60,Inf,40,0,0,0.998062015503876,0.981104651162791,0.958817829457364,0.958817829457364,0.0267983074753173,0.712209302325581,0.969476744186046,0.969476744186046,1.37582770538795,1.06457569376562,1.37634725216595,1.06078238062038,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"46",20,60,20,Inf,0,0,0.980135658914729,0.973837209302326,0.936046511627907,0.104166666666667,0.0267983074753173,0.629360465116279,0.964631782945736,0.914244186046512,1.37582770538795,1.06457569376562,0.591341292582872,0.376697049890793,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"47",60,60,20,Inf,0,0,0.980135658914729,0.923934108527132,0.934593023255814,0.934593023255814,0.0267983074753173,0.593023255813954,0.205910852713178,0.208333333333333,0.821905326314335,0.981758319078941,0.821723900891725,0.982295343355882,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"48",160,60,20,Inf,0,0,0.980135658914729,0.923934108527132,0.228197674418605,0.228197674418605,0.0267983074753173,0.732558139534884,0.215116279069767,0.215116279069767,0.916439783428765,0.991772319306758,0.917340265328852,0.991164628191392,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"49",20,60,40,Inf,0,0,0.980135658914729,0.973837209302326,0.747577519379845,0.978197674418605,0.0267983074753173,0.782945736434108,0.962209302325581,0.995639534883721,0.916439783428765,0.991772319306758,2.65604013426475,2.91920223830927,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"50",60,60,40,Inf,0,0,0.980135658914729,0.933624031007752,0.934593023255814,0.934593023255814,0.0267983074753173,0.632267441860465,0.270833333333333,0.804748062015504,0.917463126625482,0.991086944837223,0.919022243116926,0.992711242182449,2.3,70,8e-06,100,0.01,3500,2,100,2.3,70,8e-06,100,0.01,3500,2,100
"51",160,60,40,Inf,0,0,0.980135658914729,0.923934108527132,0.227713178294574,0.228197674418605,0.0267983074753173,0.734496124031008,0.80765503875969,0.816375968992248,0.917463126625482,0.991086944837223,1.03913482412656,0.995172620650572,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"52",20,60,Inf,Inf,0,0,0.980135658914729,0.923934108527132,0.997577519379845,0.997577519379845,0.0267983074753173,0.779554263565892,0.998062015503876,0.997577519379845,2.86892480842296,3.07799001759559,2.83594232523939,2.88143080576407,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"53",60,60,Inf,Inf,0,0,0.980135658914729,0.931201550387597,0.934593023255814,0.934108527131783,0.0267983074753173,0.836240310077519,0.91812015503876,0.916182170542636,1.4471502090379,1.16972853232084,1.39409177639096,1.15693827808456,2.3,80,8e-06,100,0.01,3500,2,100,2.3,80,8e-06,100,0.01,3500,2,100
"54",160,60,Inf,Inf,0,0,0.980135658914729,0.973837209302326,0.933139534883721,0.926841085271318,0.0267983074753173,0.784883720930233,0.909883720930233,0.909399224806202,1.37655886968483,1.05994903695294,1.37073577165979,1.05816600456464,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"55",20,120,20,20,0,0,0.996608527131783,0.965116279069767,0.00242248062015504,0.572674418604651,0.0267983074753173,0.639050387596899,0.978197674418605,0.978197674418605,0.426010130054977,0.382884096095974,0.626889896872881,0.375533900062692,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"56",60,120,20,20,0,0,0.996608527131783,0.963178294573643,0.387112403100775,0.385658914728682,0.0267983074753173,0.636627906976744,0.892926356589147,0.897771317829457,0.821773562792153,0.979668607429375,0.821745629092692,0.982692682984529,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"57",160,120,20,20,0,0,0.996608527131783,0.963178294573643,0.890988372093023,0.890988372093023,0.0267983074753173,0.63953488372093,0.909883720930233,0.906976744186046,0.916606122623308,0.992587658685392,0.917580575577124,0.991918196090425,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"58",20,120,40,20,0,0,0.996608527131783,0.965116279069767,0.997093023255814,0.997093023255814,0.0267983074753173,0.64922480620155,1,1,2.63170681685542,2.97185314209958,2.65074956625822,2.9298032946779,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
