;Var1;Var2;Var3;Var4;CET_CP_perf;PTS_CP_perf;CET_CP_perf_B2;PTS_CP_perf_B2;CET_QR_perf;PTS_QR_perf;CET_quantile;PTS_quantile;CET_quantile_B2;PTS_quantile_B2;CET_Lr;CET_La;CET_Ls;CET_Lb;CET_Ur;CET_Ua;CET_Us;CET_Ub;PTS_Lr;PTS_La;PTS_Ls;PTS_Lb;PTS_Ur;PTS_Ua;PTS_Us;PTS_Ub
63;120;100;0;20;0.930682312;0.971534116;0.930682312;0.952846588;0.886353759;0.89178618;2.19596649;1.240157948;2.196062226;2.196062226;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
111;120;100;0;40;0.908518036;0.958713603;0.908518036;0.933941764;0.897435897;0.887222947;2.19596649;1.240157948;2.196062226;2.196062226;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
19;120;15;20;0;0.592568449;0.64450239;0.591264668;0.643198609;0.984789222;0.625814863;0.923965135;0.913355347;0.914278674;0.914278674;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
67;120;15;20;20;0.872446762;0.88222512;0.870273794;0.877444589;0.969361147;0.872881356;0.923965135;0.913355347;0.914278674;0.914278674;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
115;120;15;20;40;0.777705346;0.799000435;0.77531508;0.796610169;0.969361147;0.785528031;0.923965135;0.913355347;0.914278674;0.914278674;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
23;120;50;20;0;0.676227727;0.703389831;0.673837462;0.699695784;0.960669274;0.706214689;0.923965135;0.913355347;0.914278674;0.914278674;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
71;120;50;20;20;0.878531073;0.881573229;0.872446762;0.876140808;0.907866145;0.876358105;0.923965135;0.913355347;0.914278674;0.914278674;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
119;120;50;20;40;0.781833985;0.802694481;0.776618861;0.795740982;0.939156888;0.822468492;0.923965135;0.913355347;0.914278674;0.914278674;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
27;120;80;20;0;0.711212516;0.737940026;0.705345502;0.730334637;0.925467188;0.757496741;0.923965135;0.913355347;0.914278674;0.914278674;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
75;120;80;20;20;0.897653194;0.905910474;0.893089961;0.899826163;0.91851369;0.881138635;0.923965135;0.913355347;0.914278674;0.914278674;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
123;120;80;20;40;0.791612342;0.821382008;0.77466319;0.811603651;0.929378531;0.807909605;0.923965135;0.913355347;0.914278674;0.914278674;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
31;120;100;20;0;0.766840504;0.801825293;0.75271621;0.793785311;0.920686658;0.787483703;0.923965135;0.913355347;0.914278674;0.914278674;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
79;120;100;20;20;0.880704042;0.89243807;0.877009996;0.88765754;0.891134289;0.855280313;0.923965135;0.913355347;0.914278674;0.914278674;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
127;120;100;20;40;0.814428509;0.835940895;0.802259887;0.826162538;0.899391569;0.811603651;0.923965135;0.913355347;0.914278674;0.914278674;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
35;120;15;40;0;0.631681877;0.770751847;0.631899174;0.697088223;0.984789222;0.952411995;2.200998832;1.060820586;2.217856673;2.217856673;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
83;120;15;40;20;0.90482399;0.949804433;0.90482399;0.920469361;0.969361147;0.941329857;2.200998832;1.060820586;2.217856673;2.217856673;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
131;120;15;40;40;0.817687962;0.89243807;0.818122555;0.845284659;0.969361147;0.930465015;2.200998832;1.060820586;2.217856673;2.217856673;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
39;120;50;40;0;0.776836158;0.874185137;0.776836158;0.789439374;0.960669274;0.925249891;2.200998832;1.060820586;2.217856673;2.217856673;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
87;120;50;40;20;0.924380704;0.951542807;0.924380704;0.924380704;0.907866145;0.920686658;2.200998832;1.060820586;2.217856673;2.217856673;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
135;120;50;40;40;0.880704042;0.928943937;0.880921339;0.88765754;0.939156888;0.916340721;2.200998832;1.060820586;2.217856673;2.217856673;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
43;120;80;40;0;0.846805737;0.915254237;0.847023033;0.849196002;0.925467188;0.903520209;2.200998832;1.060820586;2.217856673;2.217856673;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
91;120;80;40;20;0.937201217;0.967622773;0.937201217;0.945023903;0.91851369;0.916992612;2.200998832;1.060820586;2.217856673;2.217856673;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
139;120;80;40;40;0.886571056;0.938722295;0.886571056;0.892220774;0.929378531;0.901129944;2.200998832;1.060820586;2.217856673;2.217856673;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
